"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 18:56:17 UTC 2026","Wed Aug 12 18:56:19 UTC 2026","1862","LMS","DASHBOARD","DASHBOARD","","","Check Dashboard page items visibility",""
"passed","Wed Aug 12 18:55:34 UTC 2026","Wed Aug 12 18:55:37 UTC 2026","3169","LMS","COURSES","COURSES","","","Try to create course with empty estimated time",""
"passed","Wed Aug 12 18:53:52 UTC 2026","Wed Aug 12 18:53:53 UTC 2026","1221","LMS","AUTHENTICATION","AUTHORISATION","","","Navigation from Login page to Registration page",""
"passed","Wed Aug 12 18:56:04 UTC 2026","Wed Aug 12 18:56:07 UTC 2026","3211","LMS","COURSES","COURSES","","","Try to create course with 0 min score",""
"passed","Wed Aug 12 18:55:20 UTC 2026","Wed Aug 12 18:55:23 UTC 2026","2751","LMS","COURSES","COURSES","","","Try to create course with empty title",""
"passed","Wed Aug 12 18:55:18 UTC 2026","Wed Aug 12 18:55:27 UTC 2026","9123","LMS","COURSES","COURSES","","","Create multiple courses",""
"passed","Wed Aug 12 18:53:47 UTC 2026","Wed Aug 12 18:53:49 UTC 2026","2470","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with proper email and password",""
"passed","Wed Aug 12 18:55:57 UTC 2026","Wed Aug 12 18:56:00 UTC 2026","3387","LMS","COURSES","COURSES","","","Try to create course with 0 min score",""
"passed","Wed Aug 12 18:53:33 UTC 2026","Wed Aug 12 18:53:34 UTC 2026","1330","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:56:21 UTC 2026","Wed Aug 12 18:56:22 UTC 2026","1183","LMS","DASHBOARD","DASHBOARD","","","Check Dashboard page items visibility",""
"passed","Wed Aug 12 18:53:22 UTC 2026","Wed Aug 12 18:53:24 UTC 2026","1246","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:56:12 UTC 2026","Wed Aug 12 18:56:14 UTC 2026","1281","LMS","DASHBOARD","DASHBOARD","","","Dashboard can be viewed for Signed in User",""
"passed","Wed Aug 12 18:56:09 UTC 2026","Wed Aug 12 18:56:10 UTC 2026","949","LMS","DASHBOARD","DASHBOARD","","","Dashboard can be viewed for Signed in User",""
"passed","Wed Aug 12 18:54:23 UTC 2026","Wed Aug 12 18:54:24 UTC 2026","1004","LMS","COURSES","COURSES","","","Check empty courses list",""
"passed","Wed Aug 12 18:55:25 UTC 2026","Wed Aug 12 18:55:28 UTC 2026","3011","LMS","COURSES","COURSES","","","Try to create course with empty title",""
"passed","Wed Aug 12 18:53:56 UTC 2026","Wed Aug 12 18:53:57 UTC 2026","1363","LMS","AUTHENTICATION","AUTHORISATION","","","Navigation from Login page to Registration page",""
"passed","Wed Aug 12 18:53:58 UTC 2026","Wed Aug 12 18:53:59 UTC 2026","1168","LMS","AUTHENTICATION","AUTHORISATION","","","User is returned to Login page after logout",""
"passed","Wed Aug 12 18:54:13 UTC 2026","Wed Aug 12 18:54:19 UTC 2026","5932","LMS","COURSES","COURSES","","","Create new course",""
"passed","Wed Aug 12 18:53:29 UTC 2026","Wed Aug 12 18:53:31 UTC 2026","1442","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:56:11 UTC 2026","Wed Aug 12 18:56:12 UTC 2026","1411","LMS","DASHBOARD","DASHBOARD","","","Check charts on Dashboard page",""
"passed","Wed Aug 12 18:55:36 UTC 2026","Wed Aug 12 18:55:38 UTC 2026","2243","LMS","COURSES","COURSES","","","Try to create course with empty estimated time",""
"passed","Wed Aug 12 18:53:33 UTC 2026","Wed Aug 12 18:53:35 UTC 2026","1952","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:54:05 UTC 2026","Wed Aug 12 18:54:06 UTC 2026","1732","LMS","AUTHENTICATION","AUTHORISATION","","","User is returned to Login page after logout",""
"passed","Wed Aug 12 18:53:54 UTC 2026","Wed Aug 12 18:53:55 UTC 2026","841","LMS","AUTHENTICATION","AUTHORISATION","","","Navigation from Login page to Registration page",""
"passed","Wed Aug 12 18:53:45 UTC 2026","Wed Aug 12 18:53:46 UTC 2026","1291","LMS","AUTHENTICATION","AUTHORISATION","","","Dashboard available after authorisation with proper email and password",""
"passed","Wed Aug 12 18:55:03 UTC 2026","Wed Aug 12 18:55:13 UTC 2026","9968","LMS","COURSES","COURSES","","","Create multiple courses",""
"passed","Wed Aug 12 18:53:24 UTC 2026","Wed Aug 12 18:53:25 UTC 2026","1289","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:53:35 UTC 2026","Wed Aug 12 18:53:43 UTC 2026","7895","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with proper email and password",""
"passed","Wed Aug 12 18:54:42 UTC 2026","Wed Aug 12 18:54:51 UTC 2026","9169","LMS","COURSES","COURSES","","","Delete existing course",""
"passed","Wed Aug 12 18:54:28 UTC 2026","Wed Aug 12 18:54:30 UTC 2026","1141","LMS","COURSES","COURSES","","","Check empty courses list",""
"passed","Wed Aug 12 18:53:19 UTC 2026","Wed Aug 12 18:53:20 UTC 2026","1112","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:56:09 UTC 2026","Wed Aug 12 18:56:10 UTC 2026","1268","LMS","DASHBOARD","DASHBOARD","","","Dashboard can be viewed for Signed in User",""
"passed","Wed Aug 12 18:55:50 UTC 2026","Wed Aug 12 18:55:54 UTC 2026","3806","LMS","COURSES","COURSES","","","Try to create course with empty description",""
"passed","Wed Aug 12 18:53:27 UTC 2026","Wed Aug 12 18:53:28 UTC 2026","1521","LMS","AUTHENTICATION","AUTHORISATION","","","Testing authorisation with wrong email or wrong password",""
"passed","Wed Aug 12 18:55:46 UTC 2026","Wed Aug 12 18:55:48 UTC 2026","2354","LMS","COURSES","COURSES","","","Try to create course with empty description",""
"passed","Wed Aug 12 18:56:04 UTC 2026","Wed Aug 12 18:56:07 UTC 2026","2494","LMS","COURSES","COURSES","","","Try to create course with 0 min score",""
"passed","Wed Aug 12 18:55:51 UTC 2026","Wed Aug 12 18:55:55 UTC 2026","3574","LMS","COURSES","COURSES","","","Try to create course with 0 max score",""
"passed","Wed Aug 12 18:53:36 UTC 2026","Wed Aug 12 18:53:38 UTC 2026","1745","LMS","AUTHENTICATION","AUTHORISATION","","","Dashboard available after authorisation with proper email and password",""
"passed","Wed Aug 12 18:55:04 UTC 2026","Wed Aug 12 18:55:10 UTC 2026","5685","LMS","COURSES","COURSES","","","Create multiple courses",""
"passed","Wed Aug 12 18:53:51 UTC 2026","Wed Aug 12 18:53:55 UTC 2026","3749","LMS","COURSES","COURSES","","","Create new course",""
"passed","Wed Aug 12 18:55:31 UTC 2026","Wed Aug 12 18:55:34 UTC 2026","2679","LMS","COURSES","COURSES","","","Try to create course with empty title",""
"passed","Wed Aug 12 18:56:15 UTC 2026","Wed Aug 12 18:56:16 UTC 2026","1470","LMS","DASHBOARD","DASHBOARD","","","Check charts on Dashboard page",""
"passed","Wed Aug 12 18:54:56 UTC 2026","Wed Aug 12 18:55:00 UTC 2026","4607","LMS","COURSES","COURSES","","","Delete existing course",""
